연 번,관리기관,설치연도,설치구간,연장(m)
159,동대문구,2022,청량리동 206-19,160
160,동대문구,2022,전농동 42-4 ~ 3-89,450
161,동대문구,2023,청량리동 11-5,20
162,동대문구,2023,제기동 146-41 ~ 158-7,60
163,동대문구,2023,휘경동 43-230 ~ 203,30
164,동대문구,2023,휘경동 369,40
165,동대문구,2023,답십리동 75-24,15
166,동대문구,2023,답십리동 294-129 ~ 483-1,240
167,동대문구,2023,전농동 204-108 ~ 196-5,30
168,동대문구,2023,답십리동 990 ~ 4-73,270
169,동대문구,2023,전농동 산32-20 ~ 43-5,100
170,동대문구,2023,이문동 264-375 ~ 264-248,200
171,동대문구,2023,이문동 264-377 ~ 264-355,100
172,중랑구,2021,"용마공원로10가길 7~17, 용마공원로 36-29~38",125
